wh_id,bldg_id,dstare,strategy,invsts,inv_attr_str1,prtfam,dept_cod
SGDC,Greenwich,WIND,PARTIALS-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,WIND,EMPTIES-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,WINDC,PARTIALS-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,WINDC,EMPTIES-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,VWIND,PARTIALS-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,VWIND,EMPTIES-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,VWINDC,PARTIALS-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,VWINDC,EMPTIES-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,1395,Wine-Champ,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,1395,Wine-Champ,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,2032,Wine-Champ,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,2032,Wine-Champ,
SGDC,Greenwich,SOUV,PARTIALS-BREAK-ZONE,AFS,,Souvenir,
SGDC,Greenwich,SOUV,EMPTIES-BREAK-ZONE,AFS,,Souvenir,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,,Tobacco,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,,Tobacco,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,2032,Wine-Champ,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,2032,Wine-Champ,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,1396,Liquor,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,1396,Liquor,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,1506,Liquor,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,1506,Liquor,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,2032,Liquor,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,2032,Liquor,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,1396,Beer,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,1396,Beer,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,1506,Beer,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,1506,Beer,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,2032,Beer,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,2032,Beer,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,1396,Packaging,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,1396,Packaging,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,1506,Packaging,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,1506,Packaging,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,1396,Wine-Champ,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,1506,Wine-Champ,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,2032,Wine-Champ,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,2032,Wine-Champ,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,,Tobacco,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,,Tobacco,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,1396,Liquor,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,1396,Liquor,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,1506,Liquor,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,1506,Liquor,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,2032,Liquor,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,2032,Liquor,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,1396,Beer,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,1396,Beer,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,1396,Packaging,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,1396,Packaging,
SGDC,Greenwich,WINR,PARTIALS-BREAK-ZONE,AFS,1506,Packaging,
SGDC,Greenwich,WINR,EMPTIES-BREAK-ZONE,AFS,1506,Packaging,
