arecod,stos,stoe,wh_id,locsts,velzon,wrkzon,aisle_id,bastrv,trvord
KH,AG08066,AG08078,SGDC,E,B,HWZ,,3300000,asc
KH,AG09066,AG09078,SGDC,E,B,HWZ,,3300000,asc
KH,AG10066,AG10078,SGDC,E,B,HWZ,,3300000,asc
KH,AG11066,AG11078,SGDC,E,B,HWZ,,3300000,asc
KH,AG12066,AG12078,SGDC,E,B,HWZ,,3300000,asc
KH,AG13066,AG13078,SGDC,E,B,HWZ,,3300000,asc
KH,AG14066,AG14078,SGDC,E,B,HWZ,,3300000,asc
KH,AG15066,AG15078,SGDC,E,B,HWZ,,3300000,asc
KH,AG16066,AG16078,SGDC,E,B,HWZ,,3300000,asc
CEB,AG04079,AG04091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG05079,AG05091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG06079,AG06091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG07079,AG07091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG08079,AG08091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG09079,AG09091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG10079,AG10091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG11079,AG11091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG12079,AG12091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG13079,AG13091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG14079,AG14091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG15079,AG15091,SGDC,E,B,HWZ,,3300000,asc
CEB,AG16079,AG16091,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH01001,AH01039,SGDC,E,B,LWZ,,3300000,asc
CLOO,AH02001,AH02039,SGDC,E,B,LWZ,,3300000,asc
CLOO,AH03001,AH03039,SGDC,E,B,LWZ,,3300000,asc
CLOO,AH04001,AH04039,SGDC,E,B,LWZ,,3300000,asc
CLOO,AH05001,AH05039,SGDC,E,B,LWZ,,3300000,asc
CLOO,AH06001,AH06039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH07001,AH07039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH08001,AH08039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH09001,AH09039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH10001,AH10039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH11001,AH11039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH12001,AH12039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH13001,AH13039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH14001,AH14039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH15001,AH15039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH16001,AH16039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH17001,AH17039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH18001,AH18039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AH19001,AH19039,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH01040,AH01065,SGDC,E,B,LWZ,,3300000,asc
CTRD,AH02040,AH02065,SGDC,E,B,LWZ,,3300000,asc
CTRD,AH03040,AH03065,SGDC,E,B,LWZ,,3300000,asc
CTRD,AH04040,AH04065,SGDC,E,B,LWZ,,3300000,asc
CTRD,AH05040,AH05065,SGDC,E,B,LWZ,,3300000,asc
CTRD,AH06040,AH06065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH07040,AH07065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH08040,AH08065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH09040,AH09065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH10040,AH10065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH11040,AH11065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH12040,AH12065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH13040,AH13065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH14040,AH14065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH15040,AH15065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH16040,AH16065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH17040,AH17065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH18040,AH18065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AH19040,AH19065,SGDC,E,B,HWZ,,3300000,asc
KH,AH01066,AH01078,SGDC,E,B,LWZ,,3300000,asc
KH,AH02066,AH02078,SGDC,E,B,LWZ,,3300000,asc
KH,AH03066,AH03078,SGDC,E,B,LWZ,,3300000,asc
KH,AH04066,AH04078,SGDC,E,B,LWZ,,3300000,asc
KH,AH05066,AH05078,SGDC,E,B,LWZ,,3300000,asc
KH,AH06066,AH06078,SGDC,E,B,HWZ,,3300000,asc
KH,AH07066,AH07078,SGDC,E,B,HWZ,,3300000,asc
KH,AH08066,AH08078,SGDC,E,B,HWZ,,3300000,asc
KH,AH09066,AH09078,SGDC,E,B,HWZ,,3300000,asc
KH,AH10066,AH10078,SGDC,E,B,HWZ,,3300000,asc
KH,AH11066,AH11078,SGDC,E,B,HWZ,,3300000,asc
KH,AH12066,AH12078,SGDC,E,B,HWZ,,3300000,asc
KH,AH13066,AH13078,SGDC,E,B,HWZ,,3300000,asc
KH,AH14066,AH14078,SGDC,E,B,HWZ,,3300000,asc
KH,AH15066,AH15078,SGDC,E,B,HWZ,,3300000,asc
KH,AH16066,AH16078,SGDC,E,B,HWZ,,3300000,asc
KH,AH17066,AH17078,SGDC,E,B,HWZ,,3300000,asc
KH,AH18066,AH18078,SGDC,E,B,HWZ,,3300000,asc
KH,AH19066,AH19078,SGDC,E,B,HWZ,,3300000,asc
CEB,AH01079,AH01091,SGDC,E,B,LWZ,,3300000,asc
CEB,AH02079,AH02091,SGDC,E,B,LWZ,,3300000,asc
CEB,AH03079,AH03091,SGDC,E,B,LWZ,,3300000,asc
CEB,AH04079,AH04091,SGDC,E,B,LWZ,,3300000,asc
CEB,AH05079,AH05091,SGDC,E,B,LWZ,,3300000,asc
CEB,AH06079,AH06091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH07079,AH07091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH08079,AH08091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH09079,AH09091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH10079,AH10091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH11079,AH11091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH12079,AH12091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH13079,AH13091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH14079,AH14091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH15079,AH15091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH16079,AH16091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH17079,AH17091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH18079,AH18091,SGDC,E,B,HWZ,,3300000,asc
CEB,AH19079,AH19091,SGDC,E,B,HWZ,,3300000,asc
CQ,AI01001,AI01052,SGDC,E,B,LWZ,,3500000,asc
CQ,AI02001,AI02052,SGDC,E,B,LWZ,,3500000,asc
CQ,AI03001,AI03052,SGDC,E,B,LWZ,,3500000,asc
CQ,AI04001,AI04052,SGDC,E,B,LWZ,,3500000,asc
CQ,AI05001,AI05052,SGDC,E,B,LWZ,,3500000,asc
CQ,AI06001,AI06052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI07001,AI07052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI08001,AI08052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI09001,AI09052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI10001,AI10052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI11001,AI11052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI12001,AI12052,SGDC,E,B,HWZ,,3500000,asc
CQ,AI13001,AI13052,SGDC,E,B,HWZ,,3500000,asc
