prtnum,stoloc,ship_to_loc,minunt,maxunt
29818044,N01015,1396,12,36
29818044,P02058,1506,12,36
29893351,O02088,,24,120
29976099,M01006,1396,12,54
29980158,P01054,1506,8,36
30057426,O03066,,12,60
30057509,O02098,,24,120
30057533,M02076,,24,120
30057566,P01085,1506,24,144
30065296,M01065,,12,60
30065312,N01111,,12,60
30070593,P03055,1506,12,36
30070775,N03077,,24,120
30179915,O02086,,12,60
30179923,O02081,,12,60
30440242,N02054,1396,12,36
30550453,O02082,,24,120
30594253,N03089,,12,60
30637607,N01080,,12,60
30637607,N01109,,24,120
30637607,P03087,1506,24,144
30707582,M01023,1396,48,216
30778252,N01117,,12,60
30778260,N02071,,12,60
30826051,M02099,,12,60
30829097,N02063,,24,120
30829113,N01081,,24,120
30829121,N03092,,12,60
30848865,N01020,1396,12,36
30848865,O02114,1506,12,36
30852875,N02109,,12,60
30852883,N01089,,12,60
30852917,N01062,,12,60
30852917,P01094,1506,12,72
30852941,N01102,,12,60
30852941,P01095,1506,12,72
30876502,O01066,,12,60
30898456,N03096,,24,120
30898464,M02079,,24,120
30922827,P02093,1506,24,144
30927503,N02082,,12,60
31012313,M01040,1396,12,54
31027824,N02098,,24,120
31027832,M01077,,24,120
31027832,P01086,1506,24,144
31027857,O02067,,12,60
31027865,N01024,1396,12,36
31112899,O01086,,24,120
31112899,P02094,1506,24,144
31112907,M02092,,24,120
31112915,O03074,,24,120
31214778,P03089,1506,12,72
31249766,O01041,1396,12,36
31286255,N02059,1396,24,72
31358666,O01087,,12,60
31358674,O01091,,24,120
31358690,O02068,,24,120
31410350,O03086,,24,120
31415227,N02111,,12,60
31415250,N02097,,12,60
31510290,O02094,,24,120
31510308,O01097,,12,60
31545213,M03060,,12,60
31584626,O01026,1396,12,36
31720899,M02042,1396,12,36
31751746,O03084,,24,120
31771025,N03086,,24,120
31840564,P02054,1506,6,18
3192962,P01067,1506,24,108
31946155,N01007,1396,6,18
31970429,N02083,,24,120
31970437,M01088,,12,60
32062507,N03109,,24,120
32178485,N03081,,12,60
32178501,N02077,,24,120
32220352,M03055,,24,120
32220386,N03119,,24,120
32285959,M03083,,24,120
32306854,O03076,,24,120
32329161,N01028,1396,12,36
32329195,N02006,1396,12,36
32437360,M01052,,12,60
32521817,M01014,1396,12,54
32557795,O01021,1396,24,72
32557795,P02063,1506,24,72
32707267,O01009,1396,48,144
32717357,N01051,1396,12,36
32849747,O01080,,12,60
32849853,N02115,,24,120
32945909,N01064,,24,120
32945909,P01088,1506,24,144
33056599,O01042,1396,24,72
33062001,P01097,1506,12,72
33168121,N02013,1396,24,72
33168121,P02055,1506,24,72
33196288,P02077,1506,24,72
33212903,N01023,1396,12,36
33320243,O03079,,24,120
33399585,O01012,1396,12,36
33399585,O02112,1506,12,36
33435462,O01107,1506,12,54
33448770,O02109,1506,24,72
33468109,M03068,,8,40
33474602,N02075,,24,120
33474636,O03083,,24,120
33535428,N01104,,24,120
33535436,M03054,,24,120
33554726,N01033,1396,12,36
33560061,O02102,,24,120
33560137,O01078,,24,120
33560137,P02086,1506,24,144
33560152,O02070,,24,120
33561200,M02057,,24,120
33561200,P02085,1506,24,144
33561309,M03053,,12,60
33561671,O03077,,12,60
33577180,M02030,1396,12,36
33590167,N02067,,12,60
33632308,O02100,,24,120
33632316,O01093,,12,60
33675497,N01115,,24,120
33675497,P02092,1506,24,144
33675505,M01089,,24,120
33726464,M01064,,12,60
33726514,O01079,,12,60
33726522,O03072,,12,60
33726548,O03073,,12,60
