arecod,wh_id,tblnme,column_name,srtseq,mod_usr_id,moddte,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
TOBDC,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBDC,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBDC,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBDC,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBDC,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBDC,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBDC,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBDC,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBDC,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CD,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CD,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CD,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CD,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CD,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CD,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CD,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CD,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CD,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTR,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTR,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTR,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTR,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTR,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTR,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTR,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTR,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTR,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CEB,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CEB,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CEB,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CEB,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CEB,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CEB,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CEB,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CEB,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CEB,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CLOO,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CLOO,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CLOO,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CLOO,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CLOO,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CLOO,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CLOO,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CLOO,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CLOO,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTRD,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTRD,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
CTRD,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
