prtnum,stoloc,ship_to_loc,minunt,maxunt
22555758,D01009,1396,168,336
22633686,K01021,1396,24,180
22652931,G01016,1396,144,288
2266440,F01012,1396,300,600
22754149,I01063,,100,500
22791087,G01069,,100,500
2291258,F01036,1506,24,180
2291258,I01003,1396,240,480
22922610,F01066,,100,500
22926772,J01053,,126,504
23085534,O03110,1506,24,72
23160587,E01050,1506,24,180
23160587,J01040,1396,24,180
23229374,P02056,1506,12,36
23229803,D01036,1506,168,336
23229803,G01013,1396,168,336
2330466,F01026,1506,12,90
23408597,L01068,,60,168
23623137,O01040,1396,8,24
23792478,A01012,1396,400,800
23929910,O03071,,12,60
24017672,G01028,1506,300,600
24017672,I01031,,150,600
24017974,I01036,,150,600
24017974,P01096,1506,12,72
24038068,G01014,1396,132,264
2411296,C01003,1396,216,432
2411296,C01032,1506,216,432
24142396,N01116,,12,60
24222918,K01042,,60,252
24222934,J01059,,126,504
24373436,N02017,1396,24,72
24390063,M01027,1396,24,108
24562093,A01008,1396,200,400
24592251,M01032,1396,24,108
24608093,C01033,1506,210,420
24635880,C01009,1396,192,384
24635880,D01020,1506,192,384
24636585,C01012,1396,240,384
24636585,E01022,1506,24,180
24636666,A01022,1506,240,480
24636666,C01004,1396,240,480
24636780,N02036,1396,12,36
24636780,P02067,1506,12,36
24636798,D01019,1396,336,1008
24636836,A01031,1506,144,288
24636836,C01008,1396,144,288
24783898,I01026,,126,504
24794288,I01018,1396,240,480
24844978,M03065,,24,120
24844986,O01070,,24,120
24844994,M03064,,24,120
24845001,O03078,,12,60
24936910,M02055,,12,60
24937054,O03082,,12,60
24942600,J01052,,384,1536
25242491,A01034,1506,264,528
25242491,M01002,1396,24,108
25247868,N02041,1396,12,36
25247990,H01078,,100,500
25248066,G01066,,100,500
25248163,G01046,,60,360
25248171,G01073,,100,500
25248180,I01060,,60,360
25248198,I01044,,60,270
25249500,B01031,1506,150,300
25249500,E01013,1396,150,300
26100206,J01017,1396,6,45
26109207,K01078,,240,720
26129650,I01078,,48,480
26173062,D01004,1396,288,576
26173062,F01033,1506,24,180
26200592,P01070,1506,12,54
26202663,I01025,,120,480
26202671,M01093,,24,120
26237099,F01041,1506,24,180
26237099,M01045,1396,24,108
26294405,G01012,1396,144,288
26363598,H01065,,100,500
26465096,F01071,,100,500
26698043,N02094,,12,60
26740274,I01008,1396,168,336
27001890,N03112,,12,60
27001932,O01064,,12,60
27005073,L01031,1396,6,45
27005073,O02115,1506,6,18
27005263,M01086,,12,60
27020965,E01018,1396,192,384
27020965,E01041,1506,24,180
27044809,K01051,,60,168
27044981,L01053,,60,168
27095082,M03061,,24,120
27095116,O03080,,24,120
27248343,K01077,,120,336
27253053,G01039,1506,120,240
27253145,N02076,,12,60
27325216,M02028,1396,24,72
27329903,J01044,,168,672
27329903,P03088,1506,24,144
27377423,K01015,1396,12,90
27392463,I01059,,100,500
27457399,M02021,1396,12,36
27654227,F01075,,60,360
27659424,N03101,,12,60
27659820,N02070,,12,60
27660133,M02083,,12,60
27662121,M02081,,12,60
27668409,J01089,,100,500
27764455,L01052,,18,42
27996503,L01012,1396,12,90
27996503,P01062,1506,12,54
27998517,N02107,,12,60
28010593,M02047,1396,6,18
28010593,O01119,1506,6,27
28037810,N02001,1396,6,18
28126019,G01063,,100,500
28136620,I01054,,80,480
28179273,N02108,,24,120
28179273,P03091,1506,24,144
28216554,O02019,1396,12,36
28235109,G01061,,10,50
28235125,G01067,,10,150
28254969,B01035,1506,63,126
28254969,M01041,1396,6,27
28456705,N01055,1396,12,36
28456705,O01039,1396,12,36
28456705,P02062,1506,12,36
28467603,O02062,,24,120
28467603,P02099,1506,24,144
28495273,F01006,1396,180,360
28495273,F01020,1506,12,90
28630176,M02091,,12,60
28651677,E01079,,20,2500
28652196,F01065,,2,10
28738235,E01045,1506,24,180
28739233,P01055,1506,24,108
28739704,C01037,1506,240,492
28742161,F01039,1506,24,180
28847804,N03088,,24,120
28921955,L01004,1396,12,90
28950202,K01020,1396,24,180
28969665,O02078,,24,120
28973386,E01056,1506,12,90
28973386,K01005,1396,12,90
28997948,A01032,1506,168,336
29037546,M02003,1396,24,72
29037652,N02023,1396,24,72
29037652,P01078,1506,24,108
29069085,M02014,1396,24,72
29069085,P01069,1506,24,108
29093572,L01046,,60,384
29093622,L01078,,60,120
29093689,M01091,,12,60
29093895,M01087,,12,60
29094158,N01097,,12,60
29094182,I01039,,168,672
29250883,B01025,1506,164,528
29264462,L01049,,120,336
29265105,O02085,,12,60
29293529,F01019,1506,12,90
29293529,K01032,1396,12,90
29309887,O01094,,12,60
29310992,N02086,,12,60
29351681,L01054,,60,240
29351681,P01087,1506,12,72
29362696,I01015,1396,45,93
2939797,N02020,1396,24,72
29411899,N02016,1396,12,36
29432341,O01083,,12,60
29434131,M02053,,12,60
29434172,I01004,1396,240,480
29470309,O02093,,24,120
29475019,B01037,1506,120,240
29538428,N03076,,24,120
29538550,N01088,,24,120
29594447,H01022,1506,240,480
29594447,J01048,,120,480
29608759,H01021,1506,120,240
29612637,G01053,,48,120
29613262,O02063,,24,120
29613296,M02058,,24,120
29723897,N02005,1396,24,72
2973189,I01019,1396,264,528
29761467,H01059,,24,108
29805967,P01090,1506,12,72
29805975,O02071,,24,120
29805991,O01092,,24,120
29806007,M03082,,24,120
29811668,N01053,1396,6,18
29818044,N01015,1396,12,36
29818044,P02058,1506,12,36
29893351,O02088,,24,120
2994275,J01061,,100,500
29976099,M01006,1396,12,54
29980158,K01029,1396,8,60
29980158,P01054,1506,8,36
29991114,J01067,,100,500
30057426,O03066,,12,60
30057509,H01033,1506,288,588
30057509,O02098,,24,120
30057533,H01028,1506,336,672
30057533,M02076,,24,120
30057566,K01073,,120,288
30057566,P01085,1506,24,144
30065296,M01065,,12,60
30065312,N01111,,12,60
30070593,A01029,1506,84,168
30070593,G01017,1396,84,168
30070593,P03055,1506,12,36
30070775,N03077,,24,120
30084271,I01033,,192,768
30084271,J01058,,168,672
30121081,G01062,,100,500
30179915,O02086,,12,60
30179923,O02081,,12,60
30440242,N02054,1396,12,36
30443469,H01001,1396,63,126
30550453,O02082,,24,120
30594253,N03089,,12,60
30637607,N01080,,12,60
30637607,N01109,,24,120
30637607,P03087,1506,24,144
30707582,E01047,1506,48,360
30707582,M01023,1396,48,216
30737944,J01070,,100,500
30737951,H01071,,100,500
30778252,N01117,,12,60
30778260,N02071,,12,60
30781686,I01016,1396,180,360
30816664,K01058,,60,288
30826051,M02099,,12,60
30829097,N02063,,24,120
30829113,N01081,,24,120
30829121,N03092,,12,60
30846240,L01080,,120,264
30848865,N01020,1396,12,36
30848865,O02114,1506,12,36
30852875,N02109,,12,60
30852883,N01089,,12,60
30852909,L01065,,60,168
30852917,N01062,,12,60
30852917,P01094,1506,12,72
30852941,N01102,,12,60
30852941,P01095,1506,12,72
30852958,G01033,1506,384,768
30852958,I01030,,192,768
30852990,A01018,1506,264,528
30852990,D01013,1396,264,528
30853014,C01031,1506,144,288
30853014,J01031,1396,12,90
30876502,O01066,,12,60
