usr_id,oprcod,wh_id
JEFFZM,PALRPL,SGDC
JENNIFER,PALRPL,SGDC
JOHNSINGAM,PALRPL,SGDC
JORDANT,PALRPL,SGDC
JORDON,PALRPL,SGDC
JPRASANTH,PALRPL,SGDC
JS0132564,PALRPL,SGDC
JTEPLIN,PALRPL,SGDC
JTEPLIN2,PALRPL,SGDC
JUNFANC,PALRPL,SGDC
KELVIN LIM,PALRPL,SGDC
KHOOKAH,PALRPL,SGDC
KHUSNI,PALRPL,SGDC
LAM,PALRPL,SGDC
LEONGYM,PALRPL,SGDC
LIMYUANMEE,PALRPL,SGDC
LM0132337,PALRPL,SGDC
LT0132440,PALRPL,SGDC
MAHADI,PALRPL,SGDC
MAYWONG,PALRPL,SGDC
MAZLAN,PALRPL,SGDC
MB0131670,PALRPL,SGDC
MCHANDANA,PALRPL,SGDC
MENDOZA,PALRPL,SGDC
MITHILESH,PALRPL,SGDC
MOHD RAHMAN,PALRPL,SGDC
MS0145024,PALRPL,SGDC
MS145042,PALRPL,SGDC
MULHENDRIB,PALRPL,SGDC
MUSHINTEO,PALRPL,SGDC
NABILSHAH,PALRPL,SGDC
NGJING,PALRPL,SGDC
NK,PALRPL,SGDC
PARTHIBANS,PALRPL,SGDC
PAUL,PALRPL,SGDC
PETERFUNG,PALRPL,SGDC
PETERMATISI,PALRPL,SGDC
PRINT PACKLIST,PALRPL,SGDC
PTHEVINDRAN,PALRPL,SGDC
PTRIVEDI,PALRPL,SGDC
QAJAYA,PALRPL,SGDC
QAPREETHI,PALRPL,SGDC
QARUBAN,PALRPL,SGDC
QASWARNA,PALRPL,SGDC
QAVIDYA,PALRPL,SGDC
QAVINOD,PALRPL,SGDC
RAFEN,PALRPL,SGDC
RAGHAV,PALRPL,SGDC
RAHMAT,PALRPL,SGDC
RAM,PALRPL,SGDC
RAYCROSSWELL,PALRPL,SGDC
RAYMONDTAN,PALRPL,SGDC
RENQIANG,PALRPL,SGDC
REUELD,PALRPL,SGDC
RH145118,PALRPL,SGDC
RIZAL,PALRPL,SGDC
ROHIT,PALRPL,SGDC
ROSLI,PALRPL,SGDC
RPRABHU,PALRPL,SGDC
RPSUPPORT,PALRPL,SGDC
RSRINIVASAN,PALRPL,SGDC
SAHRI,PALRPL,SGDC
SAMNI,PALRPL,SGDC
SAPIEE,PALRPL,SGDC
SARAVANAN,PALRPL,SGDC
SASITHAREN,PALRPL,SGDC
SHAM,PALRPL,SGDC
SHNEO,PALRPL,SGDC
SJ133744,PALRPL,SGDC
SLAVINE,PALRPL,SGDC
SN0137087,PALRPL,SGDC
SP0131597,PALRPL,SGDC
SP133057,PALRPL,SGDC
SQ0138815,PALRPL,SGDC
SSHYAM,PALRPL,SGDC
STEVE,PALRPL,SGDC
SUPER,PALRPL,SGDC
SUPERVISOR,PALRPL,SGDC
SUPRA,PALRPL,SGDC
SURESHRAMALINGAM,PALRPL,SGDC
SUSANTAN,PALRPL,SGDC
SYAZWAN,PALRPL,SGDC
SYEDM,PALRPL,SGDC
TANPK,PALRPL,SGDC
TEMP1,PALRPL,SGDC
TEMP2,PALRPL,SGDC
TEMP3,PALRPL,SGDC
TEMP4,PALRPL,SGDC
TEMP5,PALRPL,SGDC
TEOKIAH,PALRPL,SGDC
TEOKIMJOO,PALRPL,SGDC
TIMONTHY,PALRPL,SGDC
VIGNESHWARAS,PALRPL,SGDC
WANGJANG,PALRPL,SGDC
WEEKIAT,PALRPL,SGDC
WEEYAN,PALRPL,SGDC
YANG,PALRPL,SGDC
YATIM,PALRPL,SGDC
YAZIT,PALRPL,SGDC
YEOPOH,PALRPL,SGDC
YH0145013,PALRPL,SGDC
