prtnum,stoloc,ship_to_loc,maxunt,minunt,invsts,mod_usr_id
25248163,G01046,,100,10,AFS,SAMNI
25248171,G01073,,100,10,AFS,SAMNI
25248180,I01060,,100,10,AFS,SAMNI
25248198,I01044,,100,10,AFS,SAMNI
25249500,B01031,1506,100,10,AFS,SAMNI
25249500,E01013,1396,100,10,AFS,SAMNI
26100206,J01017,1396,100,10,AFS,SAMNI
26109207,K01078,,100,10,AFS,SAMNI
26129650,I01078,,100,10,AFS,SAMNI
26173062,D01004,1396,100,10,AFS,SAMNI
26173062,F01033,1506,100,10,AFS,SAMNI
26200592,P01070,1506,100,10,AFS,SAMNI
26202663,I01025,,100,10,AFS,SAMNI
26202671,M01093,,100,10,AFS,SAMNI
26237099,F01041,1506,100,10,AFS,SAMNI
26237099,M01045,1396,100,10,AFS,SAMNI
26294405,G01012,1396,100,10,AFS,SAMNI
26363598,H01065,,100,10,AFS,SAMNI
26465096,F01071,,100,10,AFS,SAMNI
26698043,N02094,,100,10,AFS,SAMNI
26740274,I01008,1396,100,10,AFS,SAMNI
27001890,N03112,,100,10,AFS,SAMNI
27001932,O01064,,100,10,AFS,SAMNI
27005073,L01031,1396,100,10,AFS,SAMNI
27005073,O02115,1506,100,10,AFS,SAMNI
27005263,M01086,,100,10,AFS,SAMNI
27020965,E01041,1506,100,10,AFS,SAMNI
27020965,E01018,1396,100,10,AFS,SAMNI
27044809,K01051,,100,10,AFS,SAMNI
27044981,L01053,,100,10,AFS,SAMNI
27095082,M03061,,100,10,AFS,SAMNI
27095116,O03080,,100,10,AFS,SAMNI
27248343,K01077,,100,10,AFS,SAMNI
27253053,G01039,1506,100,10,AFS,SAMNI
27253145,N02076,,100,10,AFS,SAMNI
27325216,M02028,1396,100,10,AFS,SAMNI
27329903,P03088,1506,100,10,AFS,SAMNI
27329903,J01044,,100,10,AFS,SAMNI
27377423,K01015,1396,100,10,AFS,SAMNI
27392463,I01059,,100,10,AFS,SAMNI
27457399,M02021,1396,100,10,AFS,SAMNI
27654227,F01075,,100,10,AFS,SAMNI
27659424,N03101,,100,10,AFS,SAMNI
27659820,N02070,,100,10,AFS,SAMNI
27660133,M02083,,100,10,AFS,SAMNI
27662121,M02081,,100,10,AFS,SAMNI
27668409,J01089,,100,10,AFS,SAMNI
27764455,L01052,,100,10,AFS,SAMNI
27996503,L01012,1396,100,10,AFS,SAMNI
27996503,P01062,1506,100,10,AFS,SAMNI
27998517,N02107,,100,10,AFS,SAMNI
28010593,O01119,1506,100,10,AFS,SAMNI
28010593,M02047,1396,100,10,AFS,SAMNI
28037810,N02001,1396,100,10,AFS,SAMNI
28126019,G01063,,100,10,AFS,SAMNI
28136620,I01054,,100,10,AFS,SAMNI
28179273,N02108,,100,10,AFS,SAMNI
28179273,P03091,1506,100,10,AFS,SAMNI
28216554,O02019,1396,100,10,AFS,SAMNI
28235109,G01061,,100,10,AFS,SAMNI
28235125,G01067,,100,10,AFS,SAMNI
28254969,M01041,1396,100,10,AFS,SAMNI
28254969,B01035,1506,100,10,AFS,SAMNI
28456705,P02062,1506,100,10,AFS,SAMNI
28456705,N01055,1396,100,10,AFS,SAMNI
28456705,O01039,1396,100,10,AFS,SAMNI
28467603,P02099,1506,100,10,AFS,SAMNI
28467603,O02062,,100,10,AFS,SAMNI
28495273,F01020,1506,100,10,AFS,SAMNI
28495273,F01006,1396,100,10,AFS,SAMNI
28630176,M02091,,100,10,AFS,SAMNI
28651677,E01079,,100,10,AFS,SAMNI
28652196,F01065,,100,10,AFS,SAMNI
28738235,E01045,1506,100,10,AFS,SAMNI
28739233,P01055,1506,100,10,AFS,SAMNI
28739704,C01037,1506,100,10,AFS,SAMNI
28742161,F01039,1506,100,10,AFS,SAMNI
28847804,N03088,,100,10,AFS,SAMNI
28921955,L01004,1396,100,10,AFS,SAMNI
28950202,K01020,1396,100,10,AFS,SAMNI
28969665,O02078,,100,10,AFS,SAMNI
28973386,K01005,1396,100,10,AFS,SAMNI
28973386,E01056,1506,100,10,AFS,SAMNI
28997948,A01032,1506,100,10,AFS,SAMNI
29037546,M02003,1396,100,10,AFS,SAMNI
29037652,N02023,1396,100,10,AFS,SAMNI
29037652,P01078,1506,100,10,AFS,SAMNI
29069085,P01069,1506,100,10,AFS,SAMNI
29069085,M02014,1396,100,10,AFS,SAMNI
29093572,L01046,,100,10,AFS,SAMNI
29093622,L01078,,100,10,AFS,SAMNI
29093689,M01091,,100,10,AFS,SAMNI
29093895,M01087,,100,10,AFS,SAMNI
29094158,N01097,,100,10,AFS,SAMNI
29094182,I01039,,100,10,AFS,SAMNI
29250883,B01025,1506,100,10,AFS,SAMNI
29264462,L01049,,100,10,AFS,SAMNI
29265105,O02085,,100,10,AFS,SAMNI
29293529,F01019,1506,100,10,AFS,SAMNI
