stoloc,wh_id,arecod,locsts,velzon,wrkzon,aisle_id,trvseq,rescod,lochgt,loclen,locwid,locvrc,maxqvl,curqvl,pndqvl,trfpct,erfpct,useflg,stoflg,pckflg,repflg,asgflg,cipflg,cntseq,numcnt,abccod,cntdte,devcod,lokcod,locacc,voc_chkdgt,lstdte,lstcod,lst_usr_id,slotseq,perm_asgflg,cntzon_id,section,x,y,z,attr1,attr2,attr3,attr4,attr5,basepoint_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,border_pad,auto_mov_flg,slot_id,def_maxqvl,ignore_psh_flg,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cntbck_ena_flg,prdlin,stgloc,vc_wgtlmt,vc_stggrp_id,vc_instg_id,vc_outstg_id,vc_stoseq,vc_beam_id,vc_beam_pos,vc_curwgt
M2M48A,ARCSG03,4MEZSTR1,E,A,M2MB,M2MB,1007540,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M49A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008972,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M50A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008957,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M51A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008942,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M52A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008927,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M53A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008912,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M54A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008897,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M55A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008882,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M56A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008867,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M57A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008852,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M58A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008837,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M59A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008822,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M60A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008807,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M61A,ARCSG03,4MEZSTR1,E,A,M2MC,M2MC,1008792,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
